Position,Age,Experience,Salary_Rub
Ведущий финансовый аналитик,30,10 месяцев,40000
Младший финансовый аналитик,24,5 месяцев,50000
Младший финансовый аналитик,26,9 месяцев,20000
Помощник финансового аналитика,30,,40000
Аналитик данных экспериментов,29,2 года 9 месяцев,69420
Финансовый менеджер-аналитик,23,2 года 10 месяцев,100000
Аналитик- Географ- Эколог,32,3 месяца,25000
Финансовый менеджер-аналитик,30,2 года 3 месяца,50000
Аналитик инвестиционных проектов,25,4 месяца,50000
аналитик спортивных прогнозов,36,1 год 1 месяц,100000
помощник финансового аналитика,36,,25000
Помощник финансового аналитика,25,,40000
Экономист- Финансист- Аналитик,24,4 месяца,50000
Начинающий специалист- референт-аналитик- аналитик- личный помощник,30,,40000
Data Scientist- Data Engineer- Data Analyst- Аналитик,24,,40000
Трейдер-аналитик- помощник трейдера- помощник инвестиционного аналитика,26,3 месяца,45000
Бизнес-аналитик,27,2 года 1 месяц,60000
Аналитик онлайн игр,36,1 год 6 месяцев,40000
Аналитик инвестиционных проектов,33,2 года 7 месяцев,80000
Политический журналист- аналитик,30,,30000
Ассистент маркетолога-аналитика,27,,15000
Аналитик футбольных матчей,58,1 год 4 месяца,119197
Менеджер- стажер аналитик,28,1 год 8 месяцев,40000
Бухгалтер- Аудитор- Аналитик,35,2 года 1 месяц,40000
Аналитик инвестиционных проектов,32,1 год 4 месяца,137535
Аналитик отдела продаж,29,,50000
Database operator Oracle and MS SQL- IT-Analyst,27,3 месяца,30000
снабженец-аналитик-коммерческий директор,65,2 года 3 месяца,60000
Финансовый аналитик- финансовый контролёр,35,1 год 4 месяца,35000
Кредитный аналитик- Андеррайтер- Верификация,30,11 месяцев,27000
SEO-специалист- web-аналитик,38,,70000
Финансовый менеджер- аналитик- ассистент,30,1 год 3 месяца,35000
Оператор- курьер- продавец- аналитик,29,2 года 3 месяца,37000
Администратор БД/CRM аналитик,37,10 месяцев,30000
Экономист-аналитик- экономист,28,,60000
Финансовый менеджер- аналитик- ассистент,30,1 год 3 месяца,35000
Операционист- кредитный аналитик- консультант,32,1 год 2 месяца,30000
Начинающий специалист- переводчик- аналитик,29,2 месяца,20000
Системный аналитик. Менеджер продаж.,28,4 месяца,25000
Экономист-финансист- экономист-аналитик,29,9 месяцев,50000
Стажер-консультант-стажер-аналитик,29,1 месяц,37000
Специалист по аналитике/закупкам,32,,35000
Начинающий аналитик (Oracle BI),28,,40000
Экономика- журналистика- аналитика- политология,27,1 год 9 месяцев,35000
Аналитик-маркетолог,35,1 год,30000
Бизнес-аналитик,24,,75000
аналитик- куратор партнеров/проектов,37,2 года 10 месяцев,40000
Аналитик- Молодой специалист- Экономист,30,1 год 1 месяц,27000
специалист GR- Переводчик- Аналитик,32,2 месяца,25000
помощник финансового менеджера/аналитика,35,2 года 9 месяцев,30000
Маркетолог-аналитик- PR manager,26,,70000
Финансовый аналитик- экономист- аудитор,32,1 год 1 месяц,50000
Химик-аналитик-химик-технолог,32,1 год 3 месяца,35000
Экономист- аналитик- финансовый менеджер,30,1 год 7 месяцев,45000
Финансовый аналитик/Финансовый консультант,35,,30000
инженер- технический маркетолог- аналитик,37,2 года 2 месяца,85000
экономист кредитного отдела- аналитик,34,1 год 8 месяцев,30000
Аналитика SAP- it-специалист,36,2 года 9 месяцев,50000
Лаборант-аналитик 4 разряда,30,1 год 3 месяца,30000
Тренер-консультант- спортивная аналитика,34,,60000
стажер-программист- стажер-аналитик,27,,40000
Экономист-аналитик,34,1 год 11 месяцев,30000
Кредитный аналитик,43,,70000
Младший аналитик,30,3 месяца,25000
Финансовый аналитик,32,1 год 7 месяцев,25000
Бизнес-аналитик,40,10 месяцев,61000
Спортивный аналитик,29,7 месяцев,40000
Техник-аналитик,38,,30000
Экономист-аналитик,32,1 год 8 месяцев,50000
Финансовый Аналитик,29,4 месяца,70000
Аналитик - программист,42,,50000
Стажёр в отдел аналитики,22,,60000
Продавец-консультант/Маркетолог/ Аналитик,26,5 месяцев,35000
Координатор в отдел аналитики,37,1 год 3 месяца,20000
Аналитик- Специалист технического отдела-,28,,65000
Менеджер-аналитик (итальянский язык),62,2 года 9 месяцев,50000
менеджер по продажам- аналитик,30,2 года 6 месяцев,50000
Аналитик данных (Data analyst- Data science- Python- SQL),29,2 года 3 месяца,65000
Младший аналитик нефтегазового сектора,28,4 месяца,60000
Аналитик со знанием английского языка,34,,45000
Финансовый аналитик/менеджер/консультант-трейдер,58,2 года 6 месяцев,40000
Консультант- аналитик- научный сотрудник,32,3 месяца,30000
Начинающий социолог- маркетолог- аналитик,28,4 месяца,35000
Кредитный специалист- экономист- кредитный аналитик,33,,14000
Специалист аналитики-маркетинга и экономики,29,10 месяцев,30000
Гейм-дизайнер- аналитик- тестировщик игр,32,2 года,40000
экономист- финансовый аналитик- помощник бухгалтера,36,8 месяцев,25000
администратор отдела продаж- аналитик продаж,33,1 год 9 месяцев,30000
аналитик по он-лайн играм,33,,32000
Аналитик бизнес-процессов- Архитектор Бизнеса,34,2 года 4 месяца,90000
Стажер бизнес-аналитик Oracle Siebel,32,7 месяцев,35000
ИТ-специалист- оператор пк- аналитик,30,1 год 2 месяца,40000
Системный аналитик- инженер -электрик-тестировщик,30,2 года,90000
Специалист по сбору информации/Аналитик,25,,25000
Экономист-аналитик- Финансовый контролер- Экономист,30,,30000
Стажер-аналитик- переводчик- менеджер- специалист,32,4 месяца,26000
Менеджер по продажам/Кредитный аналитик,36,6 месяцев,40000
Молодой специалист- Экономист-аналитик-страховщик,32,,15000
Администратор- Аналитик- Художник- Фотограф- Журналист,30,,70000
Аналитик- разработчик- специалист технической поддержки,25,7 месяцев,37000
Менеджер по работе с клиентами- Помощник аналитика- Ассистент аналитика,24,11 месяцев,130000
Младший бизнес-аналитик- системный аналитик,28,,35000
Начинающий специалист. Аналитик в EdTech,24,2 года 3 месяца,40000
Стажер отдела маркетинга- маркетолог- аналитик.,34,1 год 1 месяц,30000
Химик- химик-аналитик- химик-лаборант,27,,20000
Финансовый аналитик на валютном рынке Forex- аналитик рынка российских акций,30,,50000
Аналитик отдела качества в дилерский центр,35,,38000
Работа с юридич лицами - продажи- аналитика,37,1 год 4 месяца,40000
Специалист по логистике- по городам- аналитик,32,1 год 4 месяца,40000
Ассистент аудитора- Экономист- Бухгалтер- Финансовый аналитик,29,,40000
Python разработчик- Аналитик- стажёр отдела ИБ,24,,20000
Финансовый аналитик в сфере инвестиционной деятельности,33,2 года 1 месяц,120000
Стажер в финансовый отдел- Стажер-аналитик,26,,30000
Аналитик-аудитор-специалист по стахованию -бухгалтер,29,,30000
Информатика- политическая аналитика (Инцидент-менеджмент)- PR,30,1 год 9 месяцев,150000
Инвестиционный аналитик/Стажер,24,,30000
PR\GR - менеджер- PR\GR-аналитик,32,11 месяцев,35000
Экономист- аудитор финансовых институтов- кредитный аналитик,23,2 года 9 месяцев,150000
аналитик службы безопасности,36,8 месяцев,30000
Аналитик-стажер в отделе Корпоративных Финансов,34,3 месяца,30000
аналитик со знанием иностранных языков,30,1 год 5 месяцев,60000
Координатор проектов. Младший аналитик. Логист.,26,1 год 5 месяцев,45000
ИТ-менеджер- аналитик- офис-менеджер,30,,30000
Аналитик отдела маркетинга и внешних связей,33,2 года 10 месяцев,75000
Менеджер по развитию проекта- аналитик проекта,33,2 года 8 месяцев,35000
Стажер отдела маркетинга- помощник финансового аналитика,28,,45000
Аналитик энергетической политики - Энергия консультирование компании,35,2 года 6 месяцев,70000
Системный аналитик- Системный администратор- Специалист технической поддержки,32,2 года 1 месяц,40000
Начинающий специалист (Работа по направлению «Бизнес-аналитика»),30,,40000
Web-разработчик- аналитик- администратор- управляющий- начальник отдела,30,2 года 7 месяцев,30000
Финансовый аналитик\ менеджер по продаже фин. продуктов,32,2 года 9 месяцев,50000
Cпециалист по маркетингу и связям с общественностью.Аналитик.,30,7 месяцев,40000
Специалист по онлайн мерчендайзингу / E-commerce аналитик,28,11 месяцев,50000
старший системный аналитик/руководитель отдела технической документации,56,,70000
Политический обозреватель- помощник руководителя- аналитик- руководитель отдела,29,2 года 2 месяца,70000
Стажер-аналитик по автоматизированным системам / IT-специалист,29,,30000
Младший финансовый аналитик / помощник оценщика/ НR менеджер,27,11 месяцев,40000
финансовый аналитик- менеджер по работе с клиентами,32,7 месяцев,30000
Системный администратор- Инженер- Техник- Аналитик- Делопроизводитель- Программист,26,,30000
Стажер отдела маркетинг- помощник маркетолога- стажер-аналитик,29,6 месяцев,45000
Менеджер проекта- Управление инновациями- Управление рисками- Аналитика,29,10 месяцев,45000
Финансовый аналитик- специалист ПВК по ПОД/ФТ,28,2 месяца,25000
Специалист по защите информации- Аналитик- Начинающий специалист- Стажер,32,,25000
Оператор-аналитик- системный администратор- специалист тех. поддержки,28,2 года 9 месяцев,75000
Логист-менеджер по ж/д перевозкам-трейдер-аналитик,34,4 месяца,40000
Кредитный аналитик-Ведущий специалист по работе с клиентами.,33,2 года 5 месяцев,40000
Помощник руководителя- помощник аналитика- менеджер по бизнес планированию,26,,25000
Молодой специалист - бухгалтер- экономист - работник банка- аналитик,32,4 месяца,30000
Финансовый аналитик- Экономист финансового отдела- Ассистент- Стажер финансового отдела,32,5 месяцев,30000
Менеджер по продажам- работе с корпоративными клиентами- аналитик,34,2 года 10 месяцев,60000
Специалист по SEO- контекстной рекламе- интернет маркетинге- веб аналитике,32,1 год 6 месяцев,40000
"Управление проектами"- "Финансовая аналитика"- "Экспертиза сметной документации"- "Оценка бизнеса",30,1 год 3 месяца,50000
Экономист по Себестоимости продукции- экономист-аналитик- этономист в отдел бюджетирования,32,11 месяцев,30000
Спортивный аналитик в букмекерской конторе,45,1 год 2 месяца,40000
Банковский сотрудник- Специалист технической службы поддержки- Оператор Пк (call-центра)-Аналитик,26,11 месяцев,50000
Системный администратор- WEB-дизайнер- SEO специалист- SMM и SMO специалист- Аналитик,30,2 года 5 месяцев,60000
it аналитик-контент менеджер-оператор call-центра-менеджер интернет магазина,32,2 года 10 месяцев,35000
Ассистент-PR-специалиста- Ассистент аналитика по СМИ - ассистент менеджера по маркетингу,25,1 год 2 месяца,25000
Международник- аналитик- политолог- переводчик- начинающий специалист,28,2 месяца,30000
Менеджер-Помощник РП- инженер ПТО- аналитик. Проектировщик (BIM-стажер)- помощник архитектора,32,2 года 10 месяцев,50000
Помощник-стажёр Бизнес-аналитика- стажёр бизнес-информатика -менеджер по продажам,29,,30000
Стажер в финансовый отдел- стажер в отдел продаж- стажер в банк- стажер-аналитик,34,6 месяцев,45000
Стажер в отдел финансового планирования и аналитики- стажер в отдел управления портфелем компании,30,,15000
Киберспортсмен. Киберспортивный аналитик/ менеджер. Возможно и просто киберспортсмен- т.к играю сам.,28,1 год 4 месяца,30000
Экономист- банковский работник- ассистент комманды- hr-менеджер - аналитик .,30,2 года 2 месяца,40000
Аналитик,32,,15000
Менеджер- специалист- методист- аналитик- преподаватель- офис-менеджер- координатор- секретарь,33,5 месяцев,20000
Финансовый аналитик,34,1 год 5 месяцев,50000
аналитик,37,1 год 3 месяца,35000
Журналист- копирайтер- PR- креативный менеджер- спортивный аналитик.,33,6 месяцев,20000
Стажер-аналитик,24,9 месяцев,50000
Финансовый аналитик,33,1 год 5 месяцев,50000
Аналитик баз данных в MO,35,,35000
Помощник финансового аналитика,27,,50000
Finance manager/analyst,43,2 года 4 месяца,91690
Аналитик,42,1 год 10 месяцев,45845
Экономист- финансовый менеджер- аналитик,43,2 года 11 месяцев,45845
Финансовый аналитик,45,1 год 2 месяца,91690
Бизнес аналитик,42,2 месяца,55014
Business Analyst,43,2 года,36676
Аналитик кредитного отдела- специалист службы внутреннего контроля банка,43,2 года 7 месяцев,55014
Сотрудник отдела сбыта- снабжения- экономист – аналитик- менеджер- помощник руководителя.,42,1 год 11 месяцев,59598
1. финансовая аналитика 2. казначейство 3. работа с корпоративными клиентами,43,2 года 8 месяцев,73352
Финансовый аналитик,40,,9169
Разработчик- аналитик- администратор,43,2 года 11 месяцев,45845
Системный\бизнес аналитик,46,1 год 11 месяцев,59598
Финансовый аналитик,43,1 год,55014
Аналитик фондового рынка,42,10 месяцев,27507
Аналитик- маркетолог,47,1 год 4 месяца,22922
Финансовый аналитик- экономист,45,2 года 9 месяцев,64183
Аналитик,47,2 года 2 месяца,73352
Junior Marketing Manager- Analyst- Product Manager Assistant,46,2 года 4 месяца,55014
Ассистент финансового аналитика- финансовый менеджер,42,2 года 4 месяца,55014
Финансовый менеджер- экономист- аналитик,42,2 года 5 месяцев,45845
Экономист-аналитик,40,10 месяцев,36676
Финансовый менеджер- экономист- аналитик,45,2 года 1 месяц,27507
Analyst,43,11 месяцев,64183
Аналитик или экономист,38,2 года 6 месяцев,64183
Экономист- финансовый аналитик,45,2 года 5 месяцев,55014
Менеджер-аналитик/Специалист аналитического (финансового) отдела,46,1 год 9 месяцев,55014
Аналитик / Экономист / Business Analyst / Economist,42,2 года 1 месяц,55014
Assistant to Finance director- financial (business) analyst,42,3 года 1 месяц,110028
Экономист-аналитик-финансовый менеджер-стажёр в аналитический отдел,45,2 года,22922
Медиабайер- аналитик,42,2 года 5 месяцев,45845
Аналитик- риск-менеджер,42,2 года 1 месяц,45845
Финансовый менеджер-Фин.аналитик-Экономист,44,2 года 8 месяцев,45845
Аналитик- экономист- сотрудник банка,42,9 месяцев,55014
Финансовый аналитик- специалист по оценке бизнеса- трейдер-аналитик,42,1 год 7 месяцев,45845
Аналитик,44,1 год 5 месяцев,36676
Аналитик- работа с интернет-проектами,44,2 года 2 месяца,55014
Junior economist- junior analyst,42,4 месяца,27507
Экономист-аналитик,44,1 год,27507
Финансовый менеджер- контроллер- ревизор- аналитик,44,2 года 9 месяцев,91690
Финансовый аналитик,42,1 год 7 месяцев,91690
Финансовый менеджер- кредитный эксперт-менеджер по продажам- финансовый аналитик,42,1 год 2 месяца,27507
Аналитик,45,1 год 4 месяца,91690
Социолог/аналитик,45,2 года 7 месяцев,73352
Аналитик,43,7 месяцев,45845
Finance assistant- analyst- ассистент- аналитик,47,1 год 9 месяцев,45845
Finance analyst,43,1 год 6 месяцев,91690
Помощник руководителя отдела маркетинга- маркетолог-аналитик и т.п.,43,2 года 6 месяцев,73352
Инвестиционный/финансовый аналитик,43,2 года 5 месяцев,55014
Аналитик,43,1 год 3 месяца,45845
Программист- аналитик,40,1 год 10 месяцев,27507
Ассистент аналитика- трейдер,43,1 год 11 месяцев,55014
Аналитик,42,1 год 6 месяцев,45845
Зам. фин. директора- начальник планово-экономического отдела- финансовый менеджер- финансовый аналитик,45,2 года 6 месяцев,110028
Финансовый менеджер/экономист/контролер/финансовый аналитик/достойная позиция в области финансов- бухгалтерии и аудита,43,2 года 4 месяца,45845
Аналитик (информационный- финансовый- актуарный)- менеджер в ведущую консалтинговыю компанию- аудитор,45,2 года 6 месяцев,55014
Экономист-аналитик,44,1 год 5 месяцев,64183
Аналитик инвестиционных проектов- риск-менеджер,43,2 года 1 месяц,45845
Analyst,43,1 год 3 месяца,91690
Руководитель проектов- аналитик,44,2 года 9 месяцев,110028
Аналитик,45,2 года 6 месяцев,64183
Аналитик,43,1 год 4 месяца,45845
Экономист / финансовый аналитик / бухгалтер,43,,27507
Маркетолог-аналитик,44,9 месяцев,36676
Консультант Аналитик,42,,91690
Менеджер в области продаж- экономист- аналитик- ведущий специалист- администратор,43,1 год 1 месяц,18338
Маркетолог- аналитик- менеджер,44,1 год 6 месяцев,91690
Ассистент финансового аналитика/помощник финансового менеджера,42,1 год 2 месяца,27507
Бизнес аналитик,42,1 год 2 месяца,27507
Помощник бухгалтера- операционист- экономист- менеджер- администратор- аналитик,44,1 год 10 месяцев,27507
Экономист- финансовый аналитик,44,1 год 6 месяцев,27507
Аналитик- Ассистент руководителя.,39,1 месяц,64183
Аналитик,44,10 месяцев,27507
Младший аналитик- ассистент в отдел финансов / отдел слияний и поглощений,42,7 месяцев,55014
Financial Analyst- Portfolio Manager- Intl Client Relationship Manager,44,2 года 10 месяцев,183380
Аналитик/Консультант,38,1 месяц,45845
Assistant of financial analyst- economist,40,1 год 10 месяцев,55014
Аналитик,50,1 год 5 месяцев,91690
Аналитик,40,6 месяцев,55014
Экономист/Финансовый аналитик,43,2 года,73352
Аналитик,42,1 год 11 месяцев,55014
аналитик,39,2 года 8 месяцев,55014
Младший аналитик-консультант по поддержке продаж,42,1 год 8 месяцев,55014
Financial analyst- accountant,43,2 года 1 месяц,73352
system/business analyst,48,2 года 4 месяца,183380
Финансист (менеджер- аналитик- маркетолог- руководитель проекта),43,2 года 7 месяцев,73352
Финансовый аналитик / Финансовый менеджер/ Кредитный контролёр/Финансовый специалист,43,5 месяцев,55014
финансовый аналитик,40,1 год 11 месяцев,59598
ХИМИК-АНАЛИТИК- ХИМИК-ТЕХНОЛОГ,46,1 год 5 месяцев,64183
Маркетолог-аналитик- Менеджер по стратегическому планированию,42,2 года 3 месяца,91598
Research analyst,48,2 года 1 месяц,45845
аналитик- помощник аналитика- ведущий специалист,43,1 год 8 месяцев,64183
аналитик/специалист по ВЭД,43,6 месяцев,45845
Market analyst- assistant brand manager- marketing assistant,42,2 года,64183
аналитик- экономист- налоговый эксперт,44,1 год 4 месяца,45845
оператор пк- офис-менеджер- секретарь- аналитик,39,2 года 3 месяца,36676
Кредитный аналитик,43,2 года 9 месяцев,91690
менеджер- аналитик- ассистент,43,2 года 1 месяц,36676
финансовый аналитик- финансовый менеджер,43,7 месяцев,64183
Маркетолог-аналитик,42,2 года 9 месяцев,45845
Менеджер по продажам/аналитик/ассистент отдела,44,1 год 11 месяцев,73352
Кредитный/Инвестиционный аналитик,43,1 год 5 месяцев,183380
Финансист- аналитик,38,3 месяца,27507
маркетолог/аналитик,42,2 года 11 месяцев,45845
консультант/аналитик в консалтинговой компании,42,1 год 4 месяца,45845
Финансовый менеджер- финансовый аналитик,43,2 года 3 месяца,73352
Аналитик - трейдер,37,1 год 8 месяцев,137535
Менеджер отдела развития бизнеса- аналитик.,43,2 года 5 месяцев,55014
Аналитик,46,2 года 5 месяцев,91690
кредитный инспектор/аналитик,43,2 года 5 месяцев,73352
Руководитель- финансовый менеджер- аналитик,44,4 месяца,64183
экономист-аналитик,47,1 год 6 месяцев,64183
финансовый аналитик,39,8 месяцев,45845
аналитик,42,1 год 10 месяцев,45845
Стажер- аналитик,37,11 месяцев,45845
бухгалтер/аналитик/финансовый менеджер/экономист,39,2 года 7 месяцев,45845
аналитик,42,8 месяцев,45845
экономист в банк или совместное предприятие- финансовый аналитик,39,1 год 2 месяца,36676
Маркетолог-аналитик-менеджер по рекламе,45,2 года 9 месяцев,55014
Маркетинг- аналитика,44,4 месяца,55014
Экономист- Бухгалтер- Финансовый аналитик- Менеджер по продажам,46,2 года 4 месяца,91690
Аналитик,44,10 месяцев,91690
Economist- financial analyst,42,1 год 4 месяца,82521
Аналитик- ассистент бренд менеджера- мерчендайзер,40,1 год 3 месяца,32091
аналитик,40,6 месяцев,36676
Аналитик- Консультант- Маркетолог- Исследователь,46,2 года 9 месяцев,91690
финансовый директор \ фин. аналитик \ экономист,42,2 года,119197
credit analyst,40,1 год,45845
Экономист- финансовый аналитик,42,1 год 9 месяцев,73352
Analyst- expert- financial manager,43,1 год 7 месяцев,183380
Информационная и экономическая безопасность. Помощник аналитика.,44,1 год 6 месяцев,45845
Кредитный аналитик- специалист финансового отдела,39,1 год 7 месяцев,55014
Аналитик «Управления установки и сопровождения программных продуктов»,46,2 года 5 месяцев,155873
Финансовый аналитик,43,2 года 8 месяцев,73352
Кредитный аналитик/нач. отдела/,42,2 года 8 месяцев,183380
аналитик,42,6 месяцев,183380
системный аналитик/ инженер R&D,43,2 года 7 месяцев,110028
экономист- финансовый аналитик,43,2 года 8 месяцев,91690
Финансовый аналитик,42,2 года 3 месяца,137535
аналитик,42,1 год 9 месяцев,73352
Финансовый аналитик,40,2 года 2 месяца,59598
Аналитик,40,2 года 1 месяц,73352
аналитик,38,3 месяца,45845
Бизнес-аналитик,42,1 год 9 месяцев,183380
Бухгалтер- помощник финансового менеджера- аналитика,44,1 год 8 месяцев,64183
Аналитик- финансы- экономика,40,1 год,73352
экономист- финансовый аналитик,40,1 год 1 месяц,64183
Фин аналитик,42,1 год 7 месяцев,73352
Financial Analyst,40,7 месяцев,55014
Аналитик-менеджер,42,2 года 11 месяцев,55014
Финансовый аналитик- брокер- трейдер и пр.,40,1 год 1 месяц,55014
Маркетолог- маркетолог-аналитик- менеджер по маркетингу,44,1 год 7 месяцев,91690
Экономист-аналитик,45,1 год 6 месяцев,82521
маркетолог-аналитик,43,2 года 8 месяцев,91690
менеджер- аналитик,35,1 год 11 месяцев,91690
оценщик- землеустроитель- аналитик рынка,42,1 год 1 месяц,45845
Ассистент аналитика,40,3 месяца,18338
кредитный аналитик,42,1 год 10 месяцев,73352
Финансовый аналитик,40,2 года 2 месяца,73352
аналитик рынка- землеустроитель- оценщик,42,1 год 1 месяц,55014
Финансовый аналитик,38,7 месяцев,36676
Investment banking- junior analyst,38,1 год 5 месяцев,82521
Маркетинг- Продажи- Аналитика-Консалтинг.,39,7 месяцев,41260
аналитик- землеустроитель- оценщик,42,1 год 1 месяц,55014
маркетолог-аналитик,40,11 месяцев,45845
analyst- project manager- trainee,42,2 года 4 месяца,91690
Маркетинговый аналитик,42,1 год 10 месяцев,64183
экономист- аналитик- бухгалтер,40,1 год 6 месяцев,41260
Аналитик (ассистент),40,2 года 5 месяцев,45845
аналитик,40,6 месяцев,64183
экономист- аналитик,42,2 года 9 месяцев,55014
credit manager/analyst,44,2 года 8 месяцев,73352
аналитик- менеджер по рискам,39,1 год,27507
Аналитик .,42,1 год,119197
финансовый аналитик,39,,45845
Бизнес аналитик- full time.,40,11 месяцев,82521
Финансовый аналитик.,39,8 месяцев,27507
Финансовый аналитик- бухучет.,36,,18338
Аналитик,39,1 год 9 месяцев,197120
финансовый аналитик,42,1 год 7 месяцев,91690
аналитик,44,2 года 11 месяцев,128366
Аналитик службы продаж,43,1 год 1 месяц,82521
Маркетолог-аналитик,39,1 год 4 месяца,55014
трейдер/аналитик/sales,42,2 года 7 месяцев,91690
финансовый аналитик,39,,45845
Аналитик,40,2 года 2 месяца,82521
Analyst,40,10 месяцев,82521
аналитик,40,1 год,68767
Экономист-аналитик,42,2 года 8 месяцев,91690
HR-Аналитик,42,2 года 11 месяцев,73352
Финансовый аналитик- бизнес- аналитик- экономист,39,,82521
Ассистент в отдел аналитики- риск-менеждмента,39,1 месяц,27507
Аналитик,40,,36676
Торговый представитель- Менеджер активных продаж- Менеджер по работе с клиентами.Трейдер для работы на фондовом или валютном рынке. Финансовый аналитик. Финансовый консультант,42,,64183
финансист- аналитик,38,4 месяца,64183
аналитик- информатика в экономике,38,1 год 2 месяца,68767
Финансовый аналитик,38,11 месяцев,91690
аналитик,38,5 месяцев,36676
инвестиционный аналитик,39,1 год 4 месяца,183380
экономист- финансовый аналитик- менеджер,40,,45845
Маркетолог-аналитик,39,1 год 10 месяцев,50429
оператор контента- контент-менеджер- аналитик- редактор,37,8 месяцев,27507
Работа финансиста- финансового аналитика. Работа в финансовом- аналитическом отделе- осуществление финансового анализа.,39,6 месяцев,68767
Экономист- Менеджер- финансовый аналитик,40,1 год 6 месяцев,59598
Системный аналитик,38,2 года,55014
Экономист- аналитик- кредитный специалист,43,1 год 9 месяцев,55014
Financial Analyst,40,1 год 1 месяц,91690
Финансовый аналитик- ведущий менеджер в финансовый отдел- специалист по бюджетированию,43,2 года 2 месяца,137535
финансовый аналитик,42,9 месяцев,64183
маркетолог-аналитик- ведущий маркетолог-аналитик,53,2 года 1 месяц,137535
аналитик,37,8 месяцев,55014
менеджер по продажам- менеджер по работе с клиентами- аналитик рынка,44,2 года 6 месяцев,64183
оператор/аналитик БД,36,3 месяца,45845
Аналитик,40,6 месяцев,64183
Экономист - Аналитик,42,1 год 9 месяцев,91690
Финансовый аналитик- стажер в отдел финансового анализа- экономист- помощник аудитора- помощник финансового аналитика,39,1 год 3 месяца,36676
Аналитик в инвестиционно-банковский отдел,39,4 месяца,64183
Аналитик рынка коммерческой недвижимости,43,2 года 11 месяцев,91690
экономист-аналитик,39,2 года 5 месяцев,55014
аналитик,42,2 года 2 месяца,73352
аналитик,40,1 год 4 месяца,25000
Медицинский представитель (консультант- аналитик),37,4 месяца,73352
экономист/аналитик фондового рынка,39,10 месяцев,110028
аналитик- руководитель проектов- менеджер,43,2 года 3 месяца,137535
Аналитик,40,2 года 2 месяца,64183
Финансовый аналитик,39,7 месяцев,36676
Аналитик финансист,47,1 год 7 месяцев,137535
Брэнд-менеджер- маркетинг менеджер- аналитик,40,7 месяцев,64183
помощник аналитик,37,4 месяца,45845
Маркетолог - аналитик- Менеджер Проектов,40,1 год 6 месяцев,137535
Финансовый аналитик,40,3 месяца,91690
Экономист/Финансовый аналитик,38,4 месяца,36676
Финансовый аналитик,40,9 месяцев,73352
Финансовый аналитик,38,6 месяцев,20000
Экономист- аналитик,44,1 год 6 месяцев,73352
Финансовый аналитик,40,9 месяцев,73352
Менеджер- аналитик,39,11 месяцев,45845
Экономист- аналитик,39,2 года 2 месяца,55014
Стажер-аналитик,39,5 месяцев,27507
экономист- аналитик- бухгалтер- менеджер- специалист в банк,39,2 года 4 месяца,32091
Аналитик,40,1 год 4 месяца,183380
Дизайнер- помощник дизайнера- модельер-конструктор. Маркетолог- аналитик- помощник менеджера без опыта работы,38,6 месяцев,41260
Специалист/аналитик/менеджер/меркетолог,40,1 год 5 месяцев,64183
Ассистент Аналитика,39,4 месяца,64183
инвестиционный аналитик,42,2 года 3 месяца,73352
маркетолог-аналитик,39,1 год 10 месяцев,110028
аналитик,39,1 год 4 месяца,64183
маркетолог-аналитик- администратор/директор магазина- менеджер,40,1 год 7 месяцев,55014
экономист-аналитик,38,1 год 2 месяца,36676
Информационный аналитик- менеджер PR-агенства/PR-отдела,42,1 год 8 месяцев,91690
аналитик,38,4 месяца,45845
Менеджер по продажам инвестиционных продуктов- аналитик.,43,2 года 9 месяцев,91690
Помощник финансового аналитика,38,1 месяц,64183
Аналитик,38,10 месяцев,91690
аналитик,37,7 месяцев,45845
экономист- менеджер- аналитик,36,6 месяцев,22922
Аналитик,42,1 год 4 месяца,91690
Молодой специалист отдела аналитики и прогнозирования,39,1 год 1 месяц,45845
IT–Specialist- Analyst- Тестировщик ПО,43,2 года 10 месяцев,119197
стажер-аналитик,39,8 месяцев,27507
помошник менеджера-менеджер-аналитик,42,1 год 7 месяцев,82521
Investment/Corporate Finance Analyst,48,2 года 7 месяцев,183380
Analyst- Investment Banking- специалист по ценным бумагам-,39,1 год,45845
ассистент бухгалтера-аудитора- финансового аналитика. оценщика,36,1 год 10 месяцев,45845
Финансовый Аналитик,39,10 месяцев,91690
Кредитный специалист (аналитик),42,1 год 5 месяцев,68767
Junior Analyst,38,2 месяца,110028
экономист-аналитик,44,1 год 8 месяцев,91690
аналитик,40,1 год 2 месяца,64183
инвестиционный аналитик- экономист,56,2 года 5 месяцев,137535
финансовый аналитик,43,2 года 9 месяцев,73352
Экономист. Аналитик,39,2 года 3 месяца,64183
ассистент \ аналитик,37,6 месяцев,64183
аналитик-ассистент маркетолога,39,1 год 2 месяца,64183
аналитик,38,5 месяцев,73352
Бизнес аналитик,44,2 года 3 месяца,91690
системный аналитик,39,2 года 11 месяцев,27507
Аналитик/Экономист,45,1 год 2 месяца,20000
Financial/Investments analyst,40,2 года 8 месяцев,229225
Аналитик- менеджер по продажам- кредитный инспектор в банк.,38,8 месяцев,73352
финансовый аналитик,39,5 месяцев,73352
Финансовый менеджер- экономист- финансовый аналитик,38,2 года 10 месяцев,60000
аналитик,39,1 год 10 месяцев,73352
экономист- аналитик-специалист,42,4 месяца,41260
Системный аналитик,40,2 года 11 месяцев,119197
